campaign,source,medium,device,sessions,users,conversions,revenue,add_to_carts,checkouts,bounce_rate,engagement_rate,cvr,aov,cart_to_checkout,checkout_to_purchase
(direct),(direct),(none),desktop,962669,692577,4478,479350.55999999994,16329,3317,0.05284890237454411,0.9471510976254559,0.004651650775084687,107.04568110763732,0.20313552575173005,1.3500150738619234
(direct),(direct),(none),mobile,779961,531556,2663,280367.79999999993,27508,4417,0.044253494726018354,0.9557465052739816,0.0034142732777664524,105.28268869695829,0.16057147011778392,0.6028978944985284
(organic),google,organic,mobile,471566,398283,1480,193400.32492600003,16486,2611,0.044008685952761646,0.9559913140472384,0.0031384790252053795,130.6758952202703,0.15837680456144607,0.5668326311757947
(organic),google,organic,desktop,282269,176001,2149,323422.45375499985,10891,2659,0.09082116704278542,0.9091788329572146,0.007613305038810496,150.49904781526286,0.24414654301717015,0.8081985708913125
GG_Aura_Search_NB_General,google,cpc,mobile,248001,212616,5245,412419.72,47177,3434,0.02553618735408325,0.9744638126459167,0.021149108269724718,78.63102383222116,0.07278970684867626,1.527373325567851
GG_Aura_Search_Brand,google,cpc,mobile,121420,86662,3691,350239.61,24093,6283,0.047842200625926534,0.9521577993740734,0.03039861637292044,94.89016797615822,0.2607811397501349,0.5874582205952571
GG_Aura_Search_Brand,google,cpc,desktop,100620,50621,3442,491288.31,14172,5033,0.08387994434506063,0.9161200556549394,0.034207910952097,142.73338466008136,0.3551368896415467,0.6838863500894099
(organic),bing,organic,desktop,85494,54740,391,61288.679999999986,1745,667,0.06782932135588463,0.9321706786441154,0.004573420356984116,156.74854219948844,0.38223495702005733,0.5862068965517241
22581332380,google,cpc,mobile,78609,76407,5,356.98,62,3,0.044931241969749014,0.955068758030251,6.360594842829701e-05,71.396,0.04838709677419355,1.6666666666666667
lal_currentcustomers1,facebook,paidsocial,mobile,77865,72430,1841,173951.68,8578,487,0.03869517755088936,0.9613048224491106,0.023643485519809927,94.48760456273764,0.05677314059221264,3.7802874743326487
Aura_Web-CPT,applovin,cpc,desktop,73017,65164,2,204.0,157,2,0.04326389744853938,0.9567361025514606,2.739088157552351e-05,102.0,0.012738853503184714,1.0
av-intro,top10,ir_affiliate,mobile,70395,58802,3244,254951.3999999998,23708,576,0.02787129767739186,0.9721287023226082,0.046082818381987356,78.59167694204679,0.024295596423148304,5.631944444444445
Aura_Web-CPT,applovin,cpc,mobile,65750,50970,19,1404.99,762,2,0.05744486692015209,0.942555133079848,0.00028897338403041824,73.94684210526316,0.0026246719160104987,9.5
(not set),influencelogic,influencer,mobile,57267,35114,2473,271677.73,16855,1343,0.07330574327273998,0.92669425672726,0.04318368344770985,109.8575535786494,0.07967962029071492,1.8413998510796723
lal_currentcustomers5_lowerfunnelftdboo_subscribe,facebook,paidsocial,mobile,52674,42881,1309,12572.729999999996,17220,183,0.011181987318221514,0.9888180126817785,0.024850970118084823,9.604835752482808,0.010627177700348432,7.1530054644808745
GG_Aura_Search_Competitors,google,cpc,mobile,52458,42743,1811,136547.17000000004,10027,2360,0.059743032521255096,0.9402569674787449,0.034522856380342366,75.39876863611266,0.23536451580732023,0.7673728813559322
22571430648,google,cpc,mobile,52139,52533,1,120.0,40,0,0.03987418247377203,0.9601258175262279,1.9179500949385297e-05,120.0,0.0,0.0
life360-productivity,life360,display,mobile,46416,41055,0,0.0,1242,0,0.08947345742847294,0.9105265425715271,0.0,0.0,0.0,0.0
506111763,bing,cpc,mobile,39408,35273,188,14332.399999999992,3404,143,0.033571863580998784,0.9664281364190013,0.004770604953308973,76.23617021276591,0.04200940070505288,1.3146853146853146
life360-doomscroll,life360,display,mobile,39204,33598,3,8.97,590,0,0.05841240689725538,0.9415875931027446,7.652280379553107e-05,2.99,0.0,0.0
GG_Aura_PerformanceMax_NB,google,cpc,mobile,39198,32563,495,38250.62000000002,3894,643,0.08640746976886576,0.9135925302311343,0.012628195316087555,77.27397979797983,0.16512583461736005,0.7698289269051322
(referral),top10,ir_affiliate,mobile,39139,29533,2196,179618.0,14407,3529,0.03551444850404967,0.9644855514959503,0.056107718643807966,81.79326047358835,0.24495037134726175,0.6222725984698215
(referral),aura004.lightning.force.com,referral,desktop,38058,1194,14,853.0,551,182,0.03481528193809449,0.9651847180619055,0.00036785958274213043,60.92857142857143,0.33030852994555354,0.07692307692307693
(referral),influencelogic,influencer,desktop,37346,26562,1082,121271.38000000002,7467,1100,0.10126921223156429,0.8987307877684357,0.028972312965243933,112.08075785582257,0.147314852015535,0.9836363636363636
life360-work,life360,display,mobile,36841,31954,5,14.950000000000001,549,0,0.0706278331207079,0.9293721668792921,0.00013571835726500366,2.99,0.0,0.0
GG_Aura_DemandGen_Sandbox,google,cpc,mobile,36702,33996,108,5366.48,1558,47,0.06152253283199825,0.9384774671680017,0.0029426189308484553,49.68962962962963,0.030166880616174584,2.297872340425532
GG_Aura_Search_NB_General,google,cpc,desktop,36410,28274,827,69060.71,4653,806,0.0585828069211755,0.9414171930788245,0.022713540236198846,83.50750906892382,0.17322157747689662,1.0260545905707197
506111763,bing,cpc,desktop,33914,30079,278,25592.590000000015,3419,297,0.04122191425370054,0.9587780857462994,0.008197204694226573,92.05967625899285,0.08686750511845569,0.936026936026936
506069991,bing,cpc,desktop,33893,18242,1152,159496.06,5266,1906,0.06092703508099018,0.9390729649190098,0.033989319328474904,138.45144097222223,0.36194454994303077,0.6044071353620147
(referral),idpr,ir_affiliate,mobile,32961,26928,1106,108389.11000000003,7556,2264,0.043596978247019205,0.9564030217529808,0.0335548071963836,98.00100361663655,0.2996294335627316,0.48851590106007065
(referral),influencelogic,influencer,mobile,32629,27961,1298,139510.71000000002,8282,733,0.050323332005271386,0.9496766679947286,0.03978056330258359,107.48128659476119,0.08850519198261289,1.7708049113233288
(not set),influencelogic,influencer,desktop,32384,16338,960,121708.23,5862,958,0.15841156126482214,0.8415884387351779,0.029644268774703556,126.77940625,0.16342545206414194,1.0020876826722338
broad_av,facebook,paidsocial,mobile,31938,27051,207,16317.929999999998,3182,28,0.03575677875884526,0.9642432212411547,0.0064813075333458574,78.83057971014492,0.008799497171590195,7.392857142857143
