click,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,cat_0,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_11,cat_12,cat_13,cat_14,cat_15,cat_16,cat_17,cat_18,cat_19,cat_20,cat_21,cat_22,cat_23,cat_24,cat_25
0,-0.5387509156282178,-0.31021751875054143,-0.7914295688690195,0.0207902998173094,-2.5866642570418232,0.5070639096733941,1.0784064976108902,0.3982130439942942,0.7724624691054945,-1.2551496914800364,-1.1210193429562532,-0.01753030082068407,-0.10692254776280537,86,51,55,15,14,91,96,34,1,30,0,99,22,82,93,59,41,40,91,42,72,91,13,82,24,59
0,0.23543844771539388,-0.6009737800198134,-0.6141071058301681,0.6324153096367501,-0.07687375562556012,0.7974179275953605,-0.14451504923625164,-0.7611101630901165,-0.832132990057374,-1.2448670369104626,0.649469582784897,-0.7269700393585543,1.1742004252267852,48,28,14,22,66,90,33,35,37,53,37,18,3,55,12,85,53,45,10,3,18,83,45,28,84,73
0,-0.5102747463735569,-0.4134574292693846,0.6027727785237779,-1.4347157554218646,1.340139173383276,-1.1585212294936529,-2.69382487961146,0.527328752205044,-0.7460296909146957,1.0148169489531476,1.6285888177667736,-0.4786934113921298,0.9613898097908431,19,68,37,82,81,60,37,53,86,20,73,62,90,80,87,67,24,57,95,31,20,72,67,67,79,53
0,0.8892104031511661,2.634436231756873,-1.0785018707739529,-0.754194561719586,1.9292244929858062,0.13814208202672276,1.6535603470775326,-0.014325909181400925,-1.2976301463625497,-0.38514000828557243,-0.700425345898707,0.5430050171279588,0.31065908232723616,43,12,6,20,23,18,45,43,89,71,29,81,37,85,32,7,59,30,11,77,64,71,61,39,81,34
0,0.8098500388973311,-0.2245286500376495,-1.431038364773959,-0.796997887634191,1.5386225762381969,-0.7911804404164332,-0.22581559454767522,-0.5875854805632236,-0.6885339108408709,0.39750444103204,-0.2369107811896601,-0.09255528660400719,0.44099952434133344,97,24,6,38,15,25,47,5,85,37,30,14,68,46,60,28,16,85,9,33,19,28,57,62,54,81
0,-0.8345376727087581,0.34528543344421614,-1.0378225564876664,-0.3058021332938806,-1.0660758124661625,-0.12480072175449168,0.6704665264684587,0.6483348656034337,1.2112742341398,-0.05613765290476099,0.9612822332162407,-1.8896664997875892,-0.5839273894919216,67,93,4,71,19,40,14,37,24,5,67,71,53,65,42,12,39,20,51,27,39,97,37,36,89,10
0,0.5327776207073256,-0.5152348765343493,-1.2482638453771449,0.0457327371343202,1.5209170159837182,-1.621720070809716,-1.9824239728646473,1.0552528359805589,-0.9449999597889222,0.7891837686569447,0.25906918477382246,0.7785505374653451,-0.43298180490127836,47,33,84,90,47,74,5,51,1,75,23,60,1,75,12,59,1,85,17,90,33,95,65,4,44,88
0,-2.6175209756710687,1.1420599622979735,-0.8740829618261288,1.3798248486469071,-2.6848039463102205,0.5418310495026819,-0.43945394415510586,-0.0044537580663213915,0.7053004670539798,-0.3479486143468444,-0.17670709405891744,0.0931730672806705,0.5218063171970594,25,0,66,98,99,72,28,69,1,61,54,19,68,46,56,48,57,74,51,16,49,97,90,70,82,35
0,-0.010653287914633151,1.0778788668798698,-0.387967981294681,-1.6057164391078702,-0.0750935759286361,-1.024607006991826,-0.1390696212786238,-0.18400519922690756,-0.671790460483704,0.25550858182647934,-0.16660026493202706,-1.6109780466832142,0.196272608856437,82,43,75,41,73,40,42,15,98,39,8,15,32,40,0,33,71,35,30,3,11,2,85,23,71,9
0,0.6273767301395909,-1.2469531640112148,0.23630707950958327,0.0312523593285171,-1.8004785588512136,0.6990859338538059,-1.514094669006686,0.37068007750363935,0.18337088699309326,2.3928303033754523,-0.7828136488880753,0.6850302612418551,0.2073495702872555,66,50,3,2,9,24,96,14,92,66,59,92,70,47,8,20,93,7,95,24,52,84,65,39,12,64
