event,count,users
loading,564629,53127
page_view,435056,60437
scroll,121493,38962
window_loaded,98495,52448
load_time,86672,52289
session_start,69442,60873
window_loaded_seven_seconds,68045,42542
experience_impression,53287,26218
optimizely_decision,53268,26203
optimizely_decision_web,52992,26049
first_visit,48265,48539
user_engagement,37201,24109
sign_in,29104,5985
form_submit,26174,2263
planCardsImpression,19864,15535
wisepops_display,12029,5318
Sprig_Alert,12015,3823
form_click,8101,2619
add_to_cart,6610,4704
product_interest,5504,3858
article_loaded,2380,1398
Checkout,1870,1113
LiveChat,1664,1168
click,1265,799
select_content,1169,910
wisepops_click,1038,508
purchase,1019,994
debug,1018,994
fortifi_acquisition,980,974
begin_checkout,951,872
invoca_all_calls,832,150
google_ai_overview,721,670
video_progress,580,70
optimizely_load,502,424
OneTrust_decision,491,424
file_download,414,287
facebook_addToCart,286,236
wisepops_form_submit,277,140
facebook_initiateCheckout,268,236
form,243,119
hacker_scan_error,120,99
api_error_validation,72,49
video_start,72,68
eb_create_account,39,35
video_complete,31,29
spot_scam_quiz_start,14,12
free_tools_carousel,6,5
instructional_block,6,6
