campaign,landing_page,feature,sessions,conversions,revenue,bounce_rate,cvr,aov
(direct),/sign-in,general,241522,118,12288.68,0.020577835559493544,0.0004885683291791224,104.1413559322034
(direct),/,general,62706,587,88421.95,0.016122859056549612,0.009361145663891813,150.63364565587733
(direct),/forgot-password,password_manager,42394,9,414.0,0.00700570835495589,0.0002122941925744209,46.0
life360-doomscroll,/more-balance?utm_gateway=thrive,parental_controls,38422,1,2.99,0.04075789912029566,2.602675550465879e-05,2.99
(organic),/,general,37829,620,103446.34,0.0067672949324592245,0.016389542414549683,166.84893548387097
(organic),/sign-in,general,36255,66,9423.22,0.015970211005378567,0.0018204385601985932,142.77606060606058
life360-work,/more-wellness?utm_gateway=thrive,general,35752,1,2.99,0.04500447527411054,2.797046319087044e-05,2.99
(direct),/finances/credit,identity_theft,27058,0,0.0,0.03159878778919358,0.0,0.0
GG_Aura_DemandGen_Sandbox,/data-exposure-removal?int=h&mktp=google&c1=22571430648&c2=188156642051&utm_gateway=,general,19649,16,1608.86,0.007786655809455952,0.0008142908036032368,100.55375
life360-productivity,/more-focus?utm_gateway=thrive,general,18596,0,0.0,0.058130780813078084,0.0,0.0
life360-relationships,/more-time?utm_gateway=thrive,general,17902,1,2.99,0.058205787062898,5.585968048262764e-05,2.99
life360-physicalhealth,/more-wellness?utm_gateway=thrive,general,17751,0,0.0,0.050645034082586894,0.0,0.0
life360-mentalhealth,/more-balance?utm_gateway=thrive,parental_controls,17697,1,2.99,0.049273888229643445,5.6506752556930554e-05,2.99
(direct),/s/,general,17686,8,1203.0,0.02747936220739568,0.00045233518036865317,150.375
(direct),(not set),general,15078,0,0.0,0.9602732457885661,0.0,0.0
(organic),(not set),general,14220,0,0.0,0.9554852320675106,0.0,0.0
life360-boundries,/more-balance?utm_gateway=thrive,parental_controls,13077,0,0.0,0.043282098340598,0.0,0.0
(referral),/,general,12224,62,8041.84,0.005153795811518325,0.005071989528795812,129.70709677419356
(direct),/verification/thank-you,general,10440,0,0.0,0.05220306513409962,0.0,0.0
GG_Aura_Search_Brand,/better-protection?mktp=google&c1=19665933250&c2=144595646143,antivirus,8791,339,38562.97,0.012512797178933,0.03856216585143897,113.75507374631269
GG_Aura_Search_Brand,/safety-personalization-quiz-d2p?mktp=google&c1=19665933250&c2=144595646143,general,7717,301,35161.76,0.015420500194376054,0.03900479460930413,116.81647840531562
(referral),(not set),general,7653,0,0.0,0.9078792630341043,0.0,0.0
(not set),/sign-in,general,7637,4,172.0,0.24787220112609665,0.0005237658766531361,43.0
GG_Aura_Search_Brand,/sem-mobile?mktp=google&c1=19665933250&c2=144595646143&gad_campaignid=19665933250,general,7480,243,21084.56,0.021791443850267378,0.03248663101604278,86.7677366255144
(direct),/account/membership,general,7432,7,618.97,0.0016146393972012918,0.0009418729817007535,88.42428571428572
(referral),/sign-in,general,7292,8,1045.99,0.020844761382336808,0.0010970927043335162,130.74875
GG_Aura_PerformanceMax_NB,/better-protection?mktp=google&c1=21277047044&c2=&utm_gateway=,antivirus,7084,6,387.72,0.11984754376058723,0.0008469791078486731,64.62
(not set),(not set),general,6391,0,0.0,0.9411672664684713,0.0,0.0
GG_Aura_Search_NB_General,/hacked?mktp=google&c1=19982067071&c2=180413080281,general,6165,178,16529.75,0.020113544201135442,0.028872668288726682,92.86376404494382
GG_Aura_Search_Brand,/sign-in,general,6138,11,1314.75,0.03388725969371131,0.0017921146953405018,119.52272727272727
(direct),/pricing,general,5757,181,28063.73,0.01771756122980719,0.031439986103873545,155.0482320441989
GG_Aura_Search_NB_General,/ad-blocker?mktp=google&c1=19982067071&c2=181602531721&utm_gateway=adblocker,general,5551,124,8553.78,0.02810304449648712,0.022338317420284633,68.98209677419355
(organic),/learn/scammer-phone-numbers,general,5324,0,0.0,0.012772351615326822,0.0,0.0
GG_Aura_YouTube_RMK,/privacy-protection-social?mktp=google&c1=22303907484&c2=176538281272&utm_gateway=privacy&gad_campai,vpn,5235,18,1714.83,0.14708691499522444,0.0034383954154727794,95.26833333333333
GG_Aura_Search_Competitors,/privacy-savings?mktp=google&c1=19851773274&c2=173090630086&utm_gateway=privacy,vpn,5131,191,13411.99,0.06217111674137595,0.03722471253167024,70.21984293193717
GG_Aura_Search_NB_General,/hacked?mktp=google&c1=19982067071&c2=180413080281&gad_campaignid=19982067071,general,5021,134,12399.95,0.02529376618203545,0.026687910774746068,92.53694029850747
(organic),/learn/telegram-app-scams,general,5008,1,384.0,0.015375399361022364,0.00019968051118210862,384.0
GG_Aura_PerformanceMax_NB,/hacked?mktp=google&c1=21277047044&c2=&utm_gateway=,general,4525,89,7123.0,0.051270718232044196,0.01966850828729282,80.03370786516854
GG_Aura_Search_NB_General,/hacked?mktp=google&c1=19982067071&c2=152920122433,general,4305,128,11474.7,0.01788617886178862,0.029732868757259,89.64609375
GG_Aura_Search_Competitors,/privacy-savings?mktp=google&c1=19851773274&c2=173090630086&utm_gateway=privacy&gad_campaignid=19851,vpn,4269,139,11638.73,0.04942609510423987,0.032560318575778874,83.73187050359712
(organic),/pricing,general,4092,77,10401.74,0.01270772238514174,0.01881720430107527,135.08753246753247
(not set),/,general,3972,24,4440.87,0.21424974823766366,0.006042296072507553,185.03625
(referral),/sign-in?refresh_token=(redacted)&access_token=(redacted),general,3643,2,240.0,0.0,0.0005489980785067252,120.0
(organic),/learn/how-to-remove-a-hacker-from-my-phone,general,3606,0,0.0,0.01691625069328896,0.0,0.0
GG_Aura_Search_Brand,/safety-personalization-quiz-d2p?mktp=google&c1=19665933250&c2=144595646143&gad_campaignid=196659332,general,3605,160,22178.11,0.007489597780859916,0.044382801664355064,138.6131875
GG_Aura_Search_Brand,(not set),general,3594,0,0.0,0.9354479688369505,0.0,0.0
GG_Aura_Search_NB_General,/privacy-savings?mktp=google&c1=19982067071&c2=173090629846&utm_gateway=privacy&gad_campaignid=19982,vpn,3591,54,3755.98,0.02227791701475912,0.015037593984962405,69.55518518518518
(organic),/learn/my-phone-number-is-being-spoofed,general,3488,1,119.88,0.016341743119266054,0.00028669724770642203,119.88
GG_Aura_Search_NB_General,/ad-blocker?mktp=google&c1=19982067071&c2=181602531721&utm_gateway=adblocker&gad_campaignid=19982067,general,3420,84,5779.2,0.0195906432748538,0.02456140350877193,68.8
GG_Aura_Search_NB_General,/hacked?mktp=google&c1=19982067071&c2=152920122433&gad_campaignid=19982067071,general,3354,97,8387.84,0.02385211687537269,0.028920691711389387,86.47257731958763
life360-balance,/online-wellbeing?abExternalOpen=true,parental_controls,3346,8,364.97,0.02510460251046025,0.002390914524805738,45.62125
(organic),/learn/is-kroll-monitoring-legit,parental_controls,3310,6,1091.76,0.0018126888217522659,0.0018126888217522659,181.96
GG_Aura_PerformanceMax_NB,/hacked?mktp=google&c1=21277047044&c2=&utm_gateway=&gad_campaignid=21270586683,general,3248,16,1440.99,0.04187192118226601,0.0049261083743842365,90.061875
GG_Aura_Search_NB_General,/privacy-savings?mktp=google&c1=19982067071&c2=173090629846&utm_gateway=privacy,vpn,3212,51,3394.86,0.03424657534246575,0.015877957658779578,66.56588235294117
GG_Aura_Search_NB_General,/hacked?mktp=google&c1=19982067071&c2=180413080241,general,3158,140,12581.91,0.025015832805573148,0.044331855604813175,89.87078571428572
(direct),/reset-password?code=(redacted),password_manager,3017,2,169.99,0.0069605568445475635,0.0006629101756711965,84.995
GG_Aura_Search_Brand,/better-protection?mktp=google&c1=19665933250&c2=144595646143&gad_campaignid=19665933250,antivirus,2992,133,19586.61,0.009024064171122994,0.04445187165775401,147.26774436090227
(direct),/s/article/alert-password-data-leak,identity_theft,2885,0,0.0,0.022530329289428077,0.0,0.0
GG_Aura_DemandGen_Sandbox,/data-exposure-removal?mktp=google&c1=22571430648&c2=185006165932&utm_gateway=&gad_campaignid=225714,general,2721,29,543.0,0.022050716648291068,0.01065784638000735,18.724137931034484
GG_Aura_Search_Brand,/,general,2720,23,3605.76,0.016176470588235296,0.008455882352941176,156.77217391304347
GG_Aura_DemandGen_Sandbox,/data-exposure-removal?mktp=google&c1=22571430648&c2=188156642051&utm_gateway=,general,2696,0,0.0,0.007047477744807121,0.0,0.0
GG_Aura_Search_NB_General,/hacked?mktp=google&c1=19982067071&c2=180413080041,general,2597,82,6440.92,0.018482864844050827,0.03157489410858683,78.54780487804878
GG_Aura_Search_NB_General,/hacked?mktp=google&c1=19982067071&c2=180413080241&gad_campaignid=19982067071,general,2578,101,7880.8,0.020558572536850273,0.03917765709852599,78.02772277227723
(organic),/learn/ups-text-scam,general,2551,1,129.99,0.012152097216777734,0.0003920031360250882,129.99
GG_Aura_DemandGen_Sandbox,/data-exposure-removal?int=h&mktp=google&c1=22571430648&c2=185006165932&utm_gateway=&gad_campaignid=,general,2543,16,1677.87,0.01533621706645694,0.006291781360597719,104.866875
(organic),/learn/snapchat-scams,general,2458,0,0.0,0.013018714401952807,0.0,0.0
