channel,sessions_per_user,engagement_duration,total_users,new_users,returning_user_rate
Referral,2.474561208620307,6626349.0,13539,11213,0.17179998522786022
Email,1.4435081148564295,510834.0,3213,2576,0.19825708061002179
Organic Video,1.4258760107816713,20155.0,377,292,0.22546419098143233
Organic Search,1.392357378827474,29142472.0,203518,181925,0.1060987234544365
Unassigned,1.3797832614291896,35372841.0,225174,195192,0.13315036371872424
Direct,1.3699439398240136,46823241.0,452237,397106,0.12190731850777359
Paid Search,1.2836947110513421,31910677.0,271905,251066,0.07664073849322373
Mobile Push Notifications,1.2344347826086957,64519.0,2876,2831,0.015646731571627215
Paid Shopping,1.2315394242803503,145004.0,799,616,0.22903629536921155
Paid Video,1.2245665343639023,154880.0,4826,3826,0.207210940737671
Paid Social,1.2220414878798926,3893678.0,107193,99932,0.06773763212150052
Organic Social,1.2193631392730782,135075.0,3116,2703,0.13254172015404364
Cross-network,1.134300105346326,2059958.0,60841,56443,0.07228678029618185
Display,1.1106344439677773,1381403.0,146932,144310,0.017844989518961185
Paid Other,1.0851063829787233,9047.0,707,650,0.08062234794908063
Organic Shopping,1.0,178.0,4,2,0.5
